what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449385137542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386254368
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386256454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449386258766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449386259093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449386259305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449386259308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449386259509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386269611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386665972
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449386666556
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386668997
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386669315
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386669468
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386672663
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386672873
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386687396
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1449386688606
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1449386688689
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386711405
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1449386727019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386736889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386746761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386749030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386749873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386785932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386793776
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386795567
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386797881
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1449386803818
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386803824
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386804804
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386811347
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386811569
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386813560
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386813567
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386815049
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386815359
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386815432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386837303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386842796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386843572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386857079
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386857897
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386858184
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386858288
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386860429
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386860434
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386879785
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386883496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386896685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386899064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386920690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386928548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386930859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386945737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386962523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449386972773
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386974752
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386974991
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386975061
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386977751
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386977762
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386978639
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386978823
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386981276
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386981469
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386989963
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386989970
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386992326
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386992607
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386992677
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386996913
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449386996919
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449386998897
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449387000479
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449387000569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387016235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387031426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387032601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387032721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387032746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387032755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387032763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387064909
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449387064936
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449387065200
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449387065280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387065842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387066387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387094482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387096756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387097775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387102619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387105264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387110335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387110742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387130374
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449387136856
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449387143947
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449387144081
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449387146015
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449387146023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387160812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387195461
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449387195586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387205050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387206771
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449387233755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387238189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387297870
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449387297902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387352976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387360902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387499796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449387510391
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449387521468
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449387525873
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449387525964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449387785269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449387785458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449387785607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449387785741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449387785866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449387788475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449387788601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449387788734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449387788852
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449387893247
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449387904452
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449388052123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449388103747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449388111510
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449388112564
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449388117632
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449388134062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449388150204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449388353597
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449388354671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449388476817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449388507031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449388511052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449388654742
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449388659116
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449388662567
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449388667382
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449388678169
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1449388681718
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449388684067
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1449388684073
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1449388698130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449388702559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449388712104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449388712862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449388727362
